Scan #96,PSI,Stim Index,Stim Side,Ipsi,Contra,,Scan #97,PSI,Stim Index,Stim Side,Ipsi,Contra,,Scan #99,PSI,Stim Index,Stim Side,Ipsi,Contra,,Scan #100,PSI,Stim Index,Stim Side,Ipsi,Contra
19,60.3,4,R,TRUE,TRUE,,19,60.1,4,L,TRUE,FALSE,,19,59.7,5,R,TRUE,TRUE,,19,60.4,4,R,TRUE,TRUE
19,60.3,5,R,TRUE,TRUE,,19,60.1,5,L,TRUE,TRUE,,19,59.7,6,R,TRUE,TRUE,,19,60.4,5,R,TRUE,TRUE
19,60.3,6,R,TRUE,TRUE,,19,60.1,6,R,TRUE,TRUE,,19,59.7,7,R,TRUE,TRUE,,19,60.4,6,L,TRUE,TRUE
19,60.3,7,L,TRUE,TRUE,,19,60.1,7,L,TRUE,FALSE,,19,59.7,8,L,TRUE,FALSE,,19,60.4,7,R,TRUE,TRUE
19,60.3,8,L,TRUE,TRUE,,19,60.1,8,L,FALSE,FALSE,,20,7.6,1,R,TRUE,TRUE,,19,60.4,8,L,TRUE,TRUE
20,7.5,1,R,TRUE,TRUE,,20,7.5,1,L,FALSE,FALSE,,20,7.6,2,L,FALSE,FALSE,,20,7.5,1,R,TRUE,TRUE
20,7.5,2,R,TRUE,TRUE,,20,7.5,2,R,FALSE,FALSE,,20,7.6,3,R,FALSE,FALSE,,20,7.5,2,L,TRUE,FALSE
20,7.5,3,L,TRUE,FALSE,,20,7.5,3,R,FALSE,FALSE,,20,7.6,4,R,FALSE,FALSE,,20,7.5,3,L,TRUE,FALSE
20,7.5,4,L,TRUE,FALSE,,20,7.5,4,R,FALSE,FALSE,,20,7.6,5,R,FALSE,FALSE,,20,7.5,4,L,TRUE,FALSE
20,7.5,5,R,TRUE,TRUE,,20,7.5,5,L,FALSE,FALSE,,20,7.6,6,L,FALSE,FALSE,,20,7.5,5,R,TRUE,TRUE
20,7.5,6,L,TRUE,FALSE,,20,7.5,6,L,FALSE,FALSE,,20,7.6,7,L,FALSE,FALSE,,20,7.5,6,L,TRUE,TRUE
